id,trial,session,stim_type,correct_resp,resp,rt,correct
10,4,2,0,1,1,3.24,1
10,5,2,1,1,0,3.55,0
10,6,2,0,1,0,4.44,0
10,7,2,1,1,0,4.45,0
10,8,2,1,1,1,4.83,1
10,9,2,1,0,1,3.94,0
10,10,2,0,0,1,4,0
10,11,2,0,0,1,5.69,0
10,12,2,0,1,1,4.38,1
10,13,2,0,0,1,4.3,0
10,14,2,1,0,0,4.79,1
10,15,2,1,1,1,2.8,1
10,16,2,0,0,1,3.58,0
10,17,2,1,1,1,2.89,1
10,18,2,0,1,1,3.96,1
10,19,2,1,0,0,3.22,1
10,20,2,1,0,1,3.34,0
10,21,2,0,0,0,2.45,1
10,22,2,1,0,1,3.4,0
10,23,2,1,1,1,3.64,1
10,24,2,0,1,1,3.63,1
10,25,2,0,1,0,4.8,0
10,26,2,1,1,1,2.86,1
10,28,2,0,0,1,4.32,0
10,29,2,0,1,1,3.78,1
10,30,2,1,1,1,3.58,1
10,31,2,1,1,0,2.83,0
10,32,2,0,0,1,3,0
10,33,2,1,1,0,2.97,0
10,34,2,1,0,0,3.93,1
10,35,2,0,0,1,2.84,0
10,36,2,1,0,1,4.17,0
10,37,2,0,1,1,3.69,1
10,38,2,0,1,1,2.98,1
10,39,2,0,0,1,3.23,0
10,40,2,1,1,0,3.6,0
10,41,2,0,0,1,4.51,0
10,42,2,1,0,1,3.03,0
10,43,2,0,0,1,3.57,0
10,44,2,1,0,1,4.79,0
10,45,2,0,0,1,2.67,0
10,46,2,1,0,0,3.36,1
10,47,2,0,1,1,3.13,1
10,48,2,0,0,0,4.89,1
10,49,2,0,1,1,3.17,1
10,50,2,1,0,0,4.04,1
10,51,2,0,1,1,2.77,1
10,52,2,1,1,0,4.43,0
10,53,2,1,1,1,4.11,1
10,54,2,1,0,1,2.76,0
10,55,2,1,0,0,5.3,1
10,57,2,0,1,1,3.4,1
10,58,2,0,0,0,2.63,1
10,60,2,1,0,1,2.6,0
11,1,2,1,1,1,2.71,1
11,2,2,0,0,1,3.34,0
11,3,2,1,1,1,9.01,1
11,4,2,1,0,1,4.72,0
11,5,2,1,1,1,2.23,1
11,6,2,0,0,0,7.87,1
11,7,2,1,0,1,6.78,0
11,8,2,0,1,1,4.95,1
11,9,2,1,1,1,5.27,1
11,10,2,1,1,0,3.05,0
11,11,2,1,1,0,2.46,0
11,12,2,1,1,0,5.34,0
11,13,2,0,1,0,5.37,0
11,14,2,1,1,1,5.65,1
11,15,2,0,1,0,4.48,0
11,16,2,0,0,1,5.61,0
11,17,2,1,0,1,4.52,0
11,18,2,0,1,1,3.84,1
11,19,2,0,0,1,7.76,0
11,20,2,1,0,0,4.07,1
11,21,2,0,0,0,3.4,1
11,22,2,0,1,1,3.86,1
11,24,2,1,1,1,6.85,1
11,25,2,1,0,0,6.32,1
11,26,2,0,0,1,2.56,0
11,27,2,1,0,1,9.47,0
11,28,2,0,1,1,4.15,1
11,29,2,1,1,1,5.1,1
11,30,2,0,0,1,2.83,0
11,31,2,1,0,0,4.35,1
11,32,2,1,1,1,4.15,1
11,33,2,1,1,1,3.9,1
11,34,2,1,1,0,4.03,0
11,35,2,0,1,0,5.92,0
11,36,2,0,0,0,3.95,1
