id,stim_type,factual_truth,resp,correct,rt,rt_question
1,1,1,0,0,1.13266479992308,1.52369529998396
1,1,0,1,0,0.911049999995157,1.21955070004333
1,1,1,1,1,1.51613250002265,1.32809020008426
1,1,1,1,1,1.27524869993795,1.37642670003697
1,1,0,0,1,1.69896619999781,1.59158350003418
1,0,0,1,0,1.66077990003396,1.02312080003321
1,1,0,0,1,1.03138639999088,1.21377419994678
1,0,0,0,1,0.962032399955206,1.68871609994676
1,0,0,1,0,1.16685709997546,1.63730509998277
1,0,1,1,1,1.33584039995912,1.33851130004041
1,0,1,1,1,1.1863422000315,1.81350869999733
1,1,0,1,0,1.4555044999579,1.79762589989696
1,1,0,0,1,1.46813589998055,1.0090386000229
1,0,1,0,0,1.48470859997906,1.87680920003913
1,1,1,1,1,1.27778000000399,1.94797679991461
1,1,0,1,0,0.827508499962278,2.34264769998845
1,1,1,0,0,1.29022960003931,1.11939849995542
1,1,0,0,1,1.97347339999396,1.13490370009094
1,1,1,1,1,1.35625279997475,1.02351760002784
1,0,0,0,1,1.24644290003926,2.10878529993352
1,1,1,1,1,0.967282500001602,1.20678190002218
1,1,0,1,0,1.12182340002619,2.87627969996538
1,1,1,0,0,1.18331390002277,1.12294559995644
1,0,0,1,0,0.979316900018603,1.24408780003432
1,0,0,0,1,0.954740699962713,1.45162770000752
1,1,1,1,1,1.32744419993833,1.05997740000021
1,0,1,0,0,0.909678699914366,1.06678220001049
1,1,1,0,0,1.15655349998269,1.84286839992274
1,0,1,1,1,0.862645599991083,1.37913699995261
1,1,0,0,1,1.19699259998742,1.37079389998689
1,1,1,1,1,1.20442560000811,1.74550179997459
1,0,0,1,0,1.21224219992291,1.87774360005278
1,0,0,1,0,1.94998669996858,1.04656930000056
1,0,1,0,0,1.17564050003421,2.90790270001162
1,1,0,0,1,1.26206540002022,2.06626740004867
1,0,1,1,1,2.02454859996215,1.43692920007743
1,1,0,0,1,1.023491299944,1.22099220007658
1,1,0,1,0,1.01105089997873,1.35545099992305
1,0,0,1,0,2.307892599958,1.19639850000385
1,1,0,0,1,1.01241820002906,1.4191073999973
1,0,1,0,0,2.1357356000226,1.69293140002992
1,0,1,0,0,1.54023990000132,1.61876810004469
1,0,1,1,1,1.09790880000219,2.16812709998339
2,1,1,0,0,3.02163480001036,3.74669589998666
2,1,1,1,1,3.72572270000819,2.01843719999306
2,0,0,0,1,4.2120133000426,2.09190989995841
2,0,1,1,1,3.15936749998946,3.22068320005201
2,1,0,0,1,5.02405100001488,2.26358050003182
2,0,1,0,0,1.37692840001546,2.35382009996101
2,1,0,0,1,3.5605298000155,1.44397320004646
2,0,1,0,0,2.23004739999305,2.26053450000472
2,0,0,1,0,2.73743039998226,2.54163959994912
2,0,0,0,1,1.35358740005177,2.95875690004323
2,0,1,1,1,1.35668550000992,2.10046119999606
2,1,0,0,1,3.39134270010982,3.06753580004442
2,0,0,0,1,1.86899630003609,2.21067479997873
2,0,0,1,0,2.96825809997972,1.90245160006452
2,1,0,1,0,1.9005318999989,2.63389810000081
2,0,1,0,0,2.85598220000975,1.7973291000817
2,0,0,0,1,2.73004799999762,1.92480769997928
2,0,1,1,1,1.63307260000147,3.15828970004804
2,0,1,1,1,4.37583710008767,3.22852150001563
2,1,1,1,1,3.08146560005844,2.4585822999943
2,1,1,0,0,3.75982240005396,3.07488540001214
2,0,0,0,1,0.980391999939457,1.76668970007449
2,0,0,1,0,1.72611009993125,3.6013378999196
2,1,0,0,1,1.66986619995441,3.08024229994044
2,1,0,1,0,1.14039290009532,1.61362090008333
2,1,0,1,0,3.63284470001236,3.80535300006159
2,1,1,1,1,2.00257279991638,3.2166308000451
2,1,0,1,0,1.10217960004229,1.77462549996562
2,0,0,0,1,2.09486119996291,2.40719639998861
2,1,1,1,1,1.20593749999534,1.71975269995164
2,1,0,0,1,1.28411270002834,2.05800869991072
2,0,1,0,0,2.88787079998292,4.27662890008651
2,0,1,0,0,1.72434100008104,2.39148099999875
2,1,0,0,1,1.91513019998092,2.11268679995555
2,0,1,1,1,0.984027799917385,2.00636440003291
2,1,1,1,1,0.973254700074904,1.29353530006483
2,0,1,0,0,2.81727669993415,1.7703640999971
2,1,1,0,0,3.92955580004491,2.9374594000401
