id,trial,session,stim_type,factual_truth,resp,rt,correct,condition
5,35,1,1,1,1,3.32,1,2
5,36,1,0,0,1,4.84,0,3
5,37,1,0,1,1,6.05,1,1
5,38,1,0,0,0,5.83,1,3
5,39,1,1,1,1,3.32,1,2
5,40,1,1,1,1,4.18,1,2
5,41,1,0,1,0,6.15,0,1
5,42,1,1,1,1,3.17,1,2
5,43,1,1,0,1,4.07,0,4
5,45,1,1,0,1,3.79,0,4
5,48,1,0,0,1,3.66,0,3
5,49,1,0,0,0,4.42,1,3
5,50,1,1,0,1,3.08,0,4
5,51,1,1,1,0,4.1,0,2
5,52,1,0,1,1,8.38,1,1
5,53,1,0,0,1,3.53,0,3
5,54,1,1,0,1,8.37,0,4
5,55,1,1,0,1,3.27,0,4
5,57,1,0,0,1,5.24,0,3
5,58,1,1,1,0,5.19,0,2
5,59,1,1,1,1,3.41,1,2
5,60,1,1,0,1,3.19,0,4
6,1,1,0,0,0,4.88,1,3
6,2,1,0,1,0,7.67,0,1
6,3,1,0,1,1,3.37,1,1
6,4,1,0,0,0,5.32,1,3
6,5,1,0,1,0,3.43,0,1
6,6,1,0,0,0,6.52,1,3
6,7,1,0,1,1,4.54,1,1
6,8,1,1,1,1,4.35,1,2
6,9,1,1,0,0,3.07,1,4
6,10,1,1,1,0,2.24,0,2
6,11,1,1,1,0,5.35,0,2
6,12,1,0,1,0,5.92,0,1
6,13,1,1,1,1,4.75,1,2
6,14,1,0,1,1,3.18,1,1
6,15,1,1,1,1,1.88,1,2
6,16,1,1,0,0,4.4,1,4
6,17,1,0,0,1,4.95,0,3
6,18,1,0,0,0,4.06,1,3
6,19,1,1,0,1,5.31,0,4
6,20,1,0,0,1,6.67,0,3
6,21,1,0,0,1,5.41,0,3
6,22,1,1,0,0,4.8,1,4
6,23,1,1,0,0,6.32,1,4
6,24,1,1,0,0,2.67,1,4
6,25,1,1,1,1,4.58,1,2
6,26,1,1,1,0,8.72,0,2
6,27,1,1,0,1,3.08,0,4
6,28,1,0,1,0,7.79,0,1
6,29,1,1,0,1,5.17,0,4
6,30,1,1,1,1,5.1,1,2
6,31,1,1,1,0,2.43,0,2
6,32,1,1,1,1,6.3,1,2
6,33,1,1,1,1,3.1,1,2
6,34,1,0,1,1,7.62,1,1
6,35,1,0,0,0,3.35,1,3
6,37,1,0,1,1,9.77,1,1
6,38,1,0,1,0,9.59,0,1
6,39,1,0,1,1,6.24,1,1
6,40,1,1,1,1,8.71,1,2
6,41,1,0,1,0,9.18,0,1
6,42,1,1,0,0,3.5,1,4
6,43,1,1,0,1,3.93,0,4
6,44,1,0,0,0,9.05,1,3
6,45,1,0,1,1,4.05,1,1
6,47,1,1,0,1,6.83,0,4
